Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,2-Jun,180,Texas,77
Jae Crowder,Boston Celtics,99,SF,25,6-Jun,235,Marquette,626
John Holland,Boston Celtics,30,SG,27,5-Jun,,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,5-Jun,185,Georgia State,11
